Título,URL,Copete,Sección
"Sin excepción, toda la obra pública nacional está frenada en Salta",/salta/2024-5-21-0-0-0-sin-excepcion-toda-la-obra-publica-nacional-esta-frenada-en-salta,"Son unos 70 proyectos que se paralizaron por el ""no hay plata"".La deuda con la provincia se calcula en alrededor de 120 millones de dólares.",Nacionales
"Javier Milei: “No hay Pacto de Mayo porque no va a estar la Ley de Bases para ese momento""",/nacionales/2024-5-20-21-5-0-javier-milei-la-mitad-de-los-comedores-son-fantasmas-no-existen,El Presidente le subió el tono a la pelea con el mandatario español y dijo no le pedirá disculpas.,Salta
Fuerte suba del dólar blue en Salta: a cuánto cotizó este lunes,/salta/2024-5-20-21-38-0-fuerte-suba-del-dolar-blue-en-salta-a-cuanto-cotizo-este-lunes,El Presidente le subió el tono a la pelea con el mandatario español y dijo no le pedirá disculpas.,Salta
"Paro nacional de docentes: Salta, a través de la ADP, se adhiere al reclamo por ""demandas salariales""",/salta/2024-5-20-17-26-0-paro-nacional-de-docentes-salta-a-traves-de-la-adp-se-adhiere-al-reclamo-de-demandas-salariales,El Presidente le subió el tono a la pelea con el mandatario español y dijo no le pedirá disculpas.,Salta
Uno de cada dos alumnos de la primaria habla de violencia doméstica en la escuela,/salta/2024-5-20-20-37-0-1-de-cada-2-alumnos-de-primaria-habla-de-violencia-domestica-en-la-escuela,El Presidente le subió el tono a la pelea con el mandatario español y dijo no le pedirá disculpas.,Nacionales
"Milei tildó a Sánchez de ""cobarde"" y lo acusó de esconderse ""debajo de las polleras de las mujeres""",/nacionales/2024-5-20-23-8-0-milei-tildo-a-sanchez-de-cobarde-y-lo-acuso-de-esconderse-debajo-de-las-polleras-de-las-mujeres,El Presidente le subió el tono a la pelea con el mandatario español y dijo no le pedirá disculpas.,Internacionales
El conflicto con España recién comienza: Pedro Sánchez analiza llevar el caso a la UE,/internacionales/2024-5-20-17-2-0-el-conflicto-con-espana-recien-comienza-pedro-sanchez-analiza-llevar-el-caso-a-la-ue,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Nacionales
La embajadora de España ya se fue del país por el conflicto diplomático entre Milei y Sánchez,/nacionales/2024-5-20-14-1-0-la-embajadora-de-espana-ya-se-fue-del-pais-por-el-conflicto-diplomatico-entre-milei-y-sanchez,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Nacionales
Aumenta la tensión diplomática: El Gobierno argentino ratificó que no pedirá disculpas a España,/nacionales/2024-5-20-10-15-0-aumenta-la-tensio-diplomatica-el-gobierno-argentino-argentino-ratifico-que-no-pedira-disculpas-a-espana,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Nacionales
"Adorni: ""No nos preocupa la reacción diplomática""",/nacionales/2024-5-20-11-53-0-adorni-no-nos-preocupa-la-reaccion-diplomatica,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Deportes
"Con la ausencia de Dybala, Scaloni dio la lista de convocados para los amistosos de junio",/deportes/2024-5-20-17-47-0-con-la-ausencia-de-dybala-scaloni-dio-la-lista-de-convocados-para-los-amistosos-de-junio,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Policiales
"Crimen en Rosario de la Frontera: ya son cuatro los imputados, pero solo uno de ellos está detenido",/policiales/2024-5-20-19-53-0-crimen-en-rosario-de-la-frontera-ya-son-cuatro-los-imputados-pero-solo-uno-de-ellos-esta-detenido,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Deportes
Hinchas de Juventud siguen varados en Misiones y piden colaboración para volver,/deportes/2024-5-20-18-23-0-hinchas-de-juventud-siguen-varados-en-misiones-y-piden-colaboracion-para-volver,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Salta
El hombre acusado de matar a un joven en Santa Ana II no quiso hablar,/policiales/2024-5-20-19-3-0-el-hombre-acusado-de-matar-a-un-joven-en-santa-ana-ii-no-quiso-hablar,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Salta
Trabajadores de la salud de clínicas y sanatorios realizarán quites de colaboración,/salta/2024-5-20-15-40-0-trabajadores-de-la-salud-de-clinicas-y-sanatorios-realizaran-quites-de-colaboracion,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Policiales
VIDEO. Detuvieron a un gendarme con más de 300 kilos de cocaína en Las Lajitas,/policiales/2024-5-20-15-55-0-video-detuvieron-a-un-gendarme-con-mas-de-300-kilos-de-cocaina-en-las-lajitas,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Nacionales
"Fracasó la negociación en Misiones y sigue el conflicto policial: ""Se viene algo muy grave""",/nacionales/2024-5-20-17-41-0-fracaso-la-negociacion-en-misiones-y-sigue-el-conflicto-policial-se-viene-algo-muy-grave,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Policiales
Emboscan y asesinan a un joven en una plaza del B° Santa Ana II,/policiales/2024-5-20-0-0-0-emboscan-y-asesinan-a-un-joven-en-una-plaza-del-b-santa-ana-ii,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Deportes
Kevin Costner se emocionó hasta las lágrimas al ser ovacionado en el Festival de Cannes,/espectaculos/2024-5-20-18-45-0-kevin-costner-se-emociono-hasta-las-lagrimas-al-ser-ovacionado-en-el-festival-de-cannes,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Deportes
"Más problemas en Boca: el gesto de Benedetto que enfureció al DT, y Advíncula afuera",/deportes/2024-5-20-23-43-0-mas-problemas-en-boca-el-gesto-de-benedetto-que-enfurecio-al-dt-y-advincula-afuera,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Espectáculos
Griselda Siciliani confirmó que tiene una relación con Luciano Castro,/espectaculos/2024-5-20-23-2-0-griselda-siciliani-confirmo-que-tiene-una-relacion-con-luciano-castro,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Espectáculos
"VIDEO. Ashley Madison, el escándalo que salpicó a los casados de todo el mundo llega a la TV",/espectaculos/2024-5-20-22-32-0-ashley-madison-el-escandalo-que-salpico-a-los-casados-de-todo-el-mundo-llega-a-la-tv,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Internacionales
"Sin excepción, toda la obra pública nacional está frenada en Salta",/salta/2024-5-21-0-0-0-sin-excepcion-toda-la-obra-publica-nacional-esta-frenada-en-salta,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Internacionales
"Más problemas en Boca: el gesto de Benedetto que enfureció al DT, y Advíncula afuera",/deportes/2024-5-20-23-43-0-mas-problemas-en-boca-el-gesto-de-benedetto-que-enfurecio-al-dt-y-advincula-afuera,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Internacionales
