Título,URL,Copete,Sección
Otra ola polar ingresará a Salta a partir de mañana y hay probabilidades de nevadas en la zonas altas de San Lorenzo y Campo Quijano,https://www.eltribuno.com/salta/2024-5-22-9-20-0-otra-ola-polar-ingresara-a-salta-a-partir-de-manana-y-hay-probabilidades-de-nevadas-en-la-zonas-altas-de-san-lorenzo-y-campo-quijano,Las máximas se ubicarán en los 9 grados centígrados y las mínimas bajarán hasta cero grados. El viernes y el sábado habrá lloviznas durante casi toda la jornada y no se descarta la posibilidad de que en la Ciudad de Salta pueda caer aguanieve.  Para hoy y mañana hay alerta meteorológico por fuertes vientos que pueden alcanzar los 70 kilómetros por hora.,El tiempo en Salta
Encontraron sin vida a un hombre de 29 años que era buscado en la zona de Iruya,https://www.eltribuno.com/policiales/2024-5-22-13-41-0-encontraron-sin-vida-a-un-hombre-de-29-anos-que-era-buscado-en-la-zona-de-iruya,"Todo comenzó con la denuncia de extravío de persona realizada por la madre el 5 de mayo pasado, ya que desde el 27 de abril no regresaba a la casa que compartían en el paraje La Cuesta.",Policiales
Se agrava la situación en los comedores: más gente busca alimentarse y todo cuesta más caro,https://www.eltribuno.com/salta/2024-5-22-0-0-0-se-agrava-la-situacion-en-los-comedores-mas-gente-busca-alimentarse-y-todo-cuesta-mas-caro,"En las entidades aseguran estar de acuerdo con los controles de las asistencias, pero piden que no se corte. Las filas por un plato de comida son cada vez más largas. Buscan tratar sobrevivir con ayuda.",Salta
El caso del árbitro salteño agredido alcanzó repercusión a nivel nacional,https://www.eltribuno.com/deportes/2024-5-22-12-51-0-el-caso-del-arbitro-salteno-agredido-alcanzo-repercusion-a-nivel-nacional,"Algunos de los principales medios del país se hicieron eco de la nota de El Tribuno sobre el grave ataque sufrido por Franco Acosta, a quien le desfiguraron el rostro por sacar una tarjeta amarilla en un torneo de fútbol amateur.",Violencia en el Fútbol
Prisión preventiva para el ex funcionario municipal acusado de grooming,https://www.eltribuno.com/policiales/2024-5-22-10-49-0-prision-preventiva-para-el-ex-funcionario-municipal-acusado-de-grooming,"Se trata de Diego Nicolás Cruz y la decisión se tomó en audiencia fijada por la Oficina Judicial de Garantías, en donde la fiscalía solicitó la prisión preventiva del acusado, ante la imposibilidad de revisar los aparatos tecnológicos que se le secuestraron, por poseer contraseñas y seguridad por datos biométricos. También para evitar que el imputado acceda a sus redes sociales y elimine pruebas.",Policiales
"Paro nacional de docentes: Salta, a través de la ADP, se adhiere al reclamo por ""demandas salariales""",https://www.eltribuno.com/salta/2024-5-20-17-26-0-paro-nacional-de-docentes-salta-a-traves-de-la-adp-se-adhiere-al-reclamo-de-demandas-salariales,"La medida de fuerza afectará el jueves 23 a todo el sistema educativo del país (inicial, primaria, secundaria, técnica, institutos de educación superior y nivel universitario),incluyendo a Salta.",Salta
"Manteros atacaron al personal de Espacios Públicos, durante un operativo de control",https://www.eltribuno.com/salta/2024-5-22-11-3-0-manteros-atacaron-al-personal-de-espacios-publicos-durante-un-operativo-de-control,"El incidente se produjo anoche en peatonal Alberdi, tras un operativo de despeje realizado por la secretaría municipal. Le rompieron el parabrisas a un móvil de la comuna.",Salta
"Milei no afloja la tensión con el presidente de España: ""A Pedrito lo tengo macht point""",https://www.eltribuno.com/nacionales/2024-5-22-2-10-0-milei-no-afloja-la-tension-con-el-presidente-de-espana-a-pedrito-lo-tengo-macht-point,Ni el presidente argentino ni el mandatario español aceptan pedirse disculpas. Milei irá a Madrid en junio. El Gobierno de España retiró a su embajadora en Buenos Aires y solo dejó una delegación comercial.,Nacionales
Javier Milei redobla la apuesta contra Pedro Sánchez y lo desafía de cara a un nuevo viaje a España,https://www.eltribuno.com/nacionales/2024-5-21-15-47-0-milei-redobla-la-pauesta-contra-pedro-sanchez-y-lo-desafia-de-cara-un-nuevo-viaje-a-espana,"El libertario retomó los cruces con el gobierno español en medio de la crisis diplomática. ""Veremos hasta donde le llega el totalitarismo en sangre"", escribió en X el Presidente. En una entrevista había declarado contra su par español: “Se convertirá en el hazmerreír de todo el mundo por la payasada que está haciendo”.",Nacionales
La chicana de Milei contra el portavoz del gobierno de Pedro Sánchez,https://www.eltribuno.com/nacionales/2024-5-21-16-48-0-la-chicana-de-milei-contra-el-portavoz-del-gobierno-de-pedro-sanchez,El mandatario destacó a Manuel Adorni y envió un nuevo mensaje contra la administración española.,Gobierno de Javier Milei
"España tiene 117 multinacionales instaladas en Argentina, pero la diplomacia está en crisis",https://www.eltribuno.com/nacionales/2024-5-21-10-45-0-espana-tiene-117-multinacionales-instaladas-en-argentina-pero-la-diplomacia-esta-en-crisis,"España es el segundo país, después de Estados Unidos, que más invierte en la Argentina. La actividad comercial entre ambos países, cae en picada.",Nacionales
España retira definitivamente a la embajadora de Buenos Aires tras la negativa de Milei a disculparse,https://www.eltribuno.com/nacionales/2024-5-21-8-44-0-espana-retira-definitivamente-a-la-embajadora-de-buenos-aires-tras-la-negativa-de-milei-a-disculparse,"El ministro español de Asuntos Exteriores, José Manuel Albares, lo informó luego de una reunión de gabinete; “Se queda definitivamente en Madrid”, dijo.",Nacionales
"""Necesitamos que más médicos vayan a los territorios de nuestra geografía provincial""",https://www.eltribuno.com/salta/2024-5-21-11-58-0-necesitamos-que-mas-medicos-vayan-a-los-territorios-de-nuestra-geografia-provincial,"Tras recibirse de médico, Nelson Gómez Medina, volvió a curar a la gente de Rivadavia Banda Sur, lugar donde se crió. Detalles de una historia fascinante.",Salta
"Decisión histórica: España, Noruega e Irlanda reconocerán al Estado palestino",https://www.eltribuno.com/nacionales/2024-5-22-9-29-0-decision-historica-espana-noruega-e-irlanda-reconoceran-al-estado-palestino,"La noticia provocó la condena de Israel, que ordenó la retirada inmediata de sus embajadores en los tres países.",Nacionales
"Tras varios allanamientos, la Policía de Salta detuvo a cuatro personas vinculadas a un violento robo",https://www.eltribuno.com/policiales/2024-5-22-10-20-0-tras-varios-allanamientos-la-policia-de-salta-detuvo-a-cuatro-personas-vinculadas-a-un-violento-robo,"El martes, la Dirección General de Investigaciones concretó cinco allanamientos en torno a una causa por robo agravado por el uso de arma de fuego que tuvo lugar días pasados en la zona norte de nuestra ciudad. Hubo cuatro detenciones, secuestro de dinero en efectivo, sustancia estupefacientes.",Inseguridad en Salta
"En pleno centro salteño, la Policía Vial recuperó un automóvil de alta gama con pedido de secuestro",https://www.eltribuno.com/salta/2024-5-22-9-52-0-en-pleno-centro-salteno-la-policia-vial-recupero-un-automovil-de-alta-gama-con-pedido-de-secuestro,"Ocurrió anoche, cuando efectivos de la Dirección General de Seguridad Vial demoraron a un automovilista cuando intentó evadir al móvil policial, al momento de fiscalizar el rodado se constató que registraba pedido de secuestro vigente.",Auto secuestrado
Juventud se hizo dueño del clásico en el Anual,https://www.eltribuno.com/deportes/2024-5-21-21-47-0-juventud-se-hizo-dueno-del-clasico-en-el-anual,"El santo venció a Central Norte 3 a 0, con goles convertidos por Juan Carabajal, Fabrizio Rueda y José Figueroa.",Deportes
"Bayer Leverkusen y Atalanta, por la gloria europea",https://www.eltribuno.com/deportes/2024-5-21-21-15-0-bayer-leverkusen-y-atalanta-por-la-gloria-europea,"Juegan la finalísima de la Europa League a las 16 en Dublin, Irlanda.",Deportes
El deporte social intensifica el trabajo en las escuelas de toda la provincia,https://www.eltribuno.com/deportes/2024-5-21-20-45-0-el-deporte-social-intensifica-el-trabajo-en-las-escuelas-de-toda-la-provincia,"Se brindarán charlas para motivar la actividad física, además de entrenamientos para niños, niñas y adolescentes a través del programa Deporte Educativo.",Deportes
Copa Argentina: Papelón de River en Mendoza y batacazo del modesto Temperley,https://www.eltribuno.com/deportes/2024-5-21-21-18-0-river-en-vivo-minuto-a-minuto-ya-juega-en-mendoza-ante-temperley-por-la-copa-argentina,"El millonario ganaba 1 a 0, hasta que una asombrosa pirueta sobre la hora le dio el empate al gasolero, que se agigantó en los penales (5-4) con un soberbio arquero Rago. Traspié que desestabiliza a Demichelis.",Deportes
El Chapa Retegui castigó a Riquelme por ignorar a su hijo en Boca y habló de Tevez,https://www.eltribuno.com/deportes/2024-5-21-21-5-0-el-chapa-retegui-castigo-a-riquelme-por-ignorar-a-su-hijo-en-boca-y-hablo-de-tevez,"El exentrenador de Las Leonas apuntó contra el presidente del xeneize por no darle lugar a su hijo Mateo, que hoy brilla en Italia. ""Hubo algo personal"" y ""Boca se perdió varios millones de dólares por no repatriarlo"", expresó. Y aseguró que no traicionó al Apache.",Deportes
Revolución de Mayo: se aproxima una nueva Gala Patriótica en el Teatro Provincial,https://www.eltribuno.com/espectaculos/2024-5-21-16-38-0-revolucion-de-mayo-se-aproxima-una-nueva-gala-patriotica-en-el-teatro-provincial,"Se presentará un ciclo de actividades culturales con el propósito de honrar esta importante fecha, convocando a toda la comunidad a sumarse la celebración que promueve el encuentro y la unidad entre todas las provincias del NOA.",Gala Patriotica
Gran Hermano: revelaron el motivo por el que Zoe quedó eliminada,https://www.eltribuno.com/espectaculos/2024-5-21-16-27-0-gran-hermano-revelaron-el-motivo-por-el-que-zoe-quedo-eliminada,"Luego de protagonizar un momento bastante incómodo en el debate con su hija, Lucía denunció una polémica situación.",Espectáculos
"Se viene un ""Congelados muy especial"" en Gran Hermano: quiénes entran este martes",https://www.eltribuno.com/espectaculos/2024-5-21-12-16-0-se-viene-un-congelados-muy-especial-en-gran-hermano-quienes-entran-este-martes,Santiago del Moro adelantó que este martes se darán varios ingresos que prometen sorprender a todos.,Espectáculos
Griselda Siciliani confirmó que tiene una relación con Luciano Castro,https://www.eltribuno.com/espectaculos/2024-5-20-23-2-0-griselda-siciliani-confirmo-que-tiene-una-relacion-con-luciano-castro,"“Estamos muy bien”, dijo la actriz para dejar atrás los rumores de romance.",Espectáculos
"VIDEO. Ashley Madison, el escándalo que salpicó a los casados de todo el mundo llega a la TV",https://www.eltribuno.com/espectaculos/2024-5-20-22-32-0-ashley-madison-el-escandalo-que-salpico-a-los-casados-de-todo-el-mundo-llega-a-la-tv,La serie está basada en el hackeo que sufrió una aplicación de citas en el 2015. Está disponible en Netflix desde el 15 de mayo.,Espectáculos
Crimen en Rosario de la Frontera: hay cuatro hermanos imputados,https://www.eltribuno.com/policiales/2024-5-22-0-0-0-crimen-en-rosario-de-la-frontera-hay-cuatro-hermanos-imputados,"Los acusados en distinto grado son: un joven de 21 años y tres menores dos de 15 (un varón y una mujer, mellizos), y una adolescente de 17. Las chicas fueron alojadas en un asilo para mujeres.",Policiales
"Dique Las Lomitas: un hombre se descompensó al volante, chocó con una vivienda y falleció",https://www.eltribuno.com/policiales/2024-5-21-14-34-0-dique-las-lomitas-un-hombre-se-descompenso-al-volante-choco-con-una-vivienda-y-fallecio,Era un vecino conocido de la zona que volvía de retirar a sus nietos de la escuela y viajaba en su camioneta con ellos y otro adulto.,Policiales
Incautaron mercadería por $50 millones proveniente de Aguas Blancas en el ex peaje Aunor,https://www.eltribuno.com/policiales/2024-5-21-14-9-0-incautaron-mercaderia-por-50-millones-proveniente-de-aguas-blancas-en-el-ex-peaje-aunor,"La Dirección General de Seguridad Vial concretó el procedimiento en la tarde de ayer en el ex peaje Aunor, al controlar un micro proveniente de la localidad de Aguas Blancas. Multaron a 24 pasajeros e incautaron la totalidad de mercadería valuada en 50 millones pesos.",Policiales
"Absolvieron por la duda a Rita Coronel, acusada de quemar a su pareja en Salta",https://www.eltribuno.com/policiales/2024-5-21-13-32-0-absolvieron-por-la-duda-a-rita-coronel-acusada-de-quemar-a-su-pareja-en-salta,"Se ordenó la inmediata liberación de Rita Milagros Coronel. La mujer había llegado a juicio acusada por un hecho ocurrido el 7 de junio de 2019 en una vivienda precaria de Villa Lavalle, donde un hombre falleció por intoxicación por monóxido de carbono y posterior calcinación en el contexto de un incendio.",Policiales
Una ciudadana de nacionalidad boliviana intentó ingresar al país con más de 9 kilos de cocaína,https://www.eltribuno.com/policiales/2024-5-21-12-41-0-una-ciudadana-de-nacionalidad-boliviana-intento-ingresar-al-pais-con-mas-de-9-kilos-de-cocaina,"Los gendarmes notaron que la mujer circulaba con una mochila por un paso no habilitado. Al abrir la mochila, los funcionarios descubrieron nueve paquetes rectangulares con la droga. Quedó detenida en infracción a la Ley N° 23.737.",Drogas y narcotrafico
Orán: Planifican movilidad segura y sostenible,https://www.eltribuno.com/municipios/2024-5-22-0-0-0-oran-planifican-movilidad-segura-y-sostenible,Presentaron un estudio destinado a optimizar todo el sistema de transporte público en el departamento.,Municipios
General Mosconi: se trabajará en un plan de mejoras para el parque industrial,https://www.eltribuno.com/municipios/2024-5-22-13-37-0-general-mosconi-se-trabajara-en-un-plan-de-mejoras-para-el-parque-industrial,"Con el objetivo de avanzar en la regularización catastral y un proyecto de obras para el predio, se conformó una mesa de trabajo con la Intendencia y el sector empresarial de la zona.",Municipios
Metán: Actividades por el Mayo Patrio y el día de la ciudad,https://www.eltribuno.com/municipios/2024-5-22-0-0-0-metan-actividades-por-el-mayo-patrio-y-el-dia-de-la-ciudad,Semana de la ciudad con una feria de la miel en la terminal.,Municipios
Güemes: Trabajadores paran en la minera Posco por despidos irregulares,https://www.eltribuno.com/municipios/2024-5-22-0-0-0-guemes-trabajadores-paran-en-la-minera-posco-por-despidos-irregulares,La obra civil llegan a su fin y son cesanteados sin telegrama de despido.,Municipios
Campo Santo: El ingenio San Isidro estima triplicar su producción en esta Zafra 2024,https://www.eltribuno.com/municipios/2024-5-17-0-0-0-campo-santo-el-ingenio-san-isidro-estima-triplicar-su-produccion-en-esta-zafra-2024,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 70 toneladas por hectárea en esta séptima Zafra.",Municipios
La historia de Darío y Norma: cómo es vivir con una madre con alzheimer y mostrarlo en las redes,https://www.eltribuno.com/vida-y-tendencia/2024-5-12-17-47-0-la-historia-de-dario-y-norma-como-es-vivir-con-una-madre-con-alzheimer-y-mostrarlos-en-las-redes,"Norma Acosta padece alzheimer desde hace ya 6 años, una enfermedad que desgasta su vida pero a la vez fortaleció el lazo de amor entre su hijo Dario y ella.",Vida y Tendencia
Qué podemos hacer para no tener frío,https://www.eltribuno.com/vida-y-tendencia/2024-5-14-19-54-0-que-podemos-hacer-para-no-tener-frio,"Además de abrigarse, la alimentación y una ducha pueden ser útiles.",Vida y Tendencia
El misterio de la ceremonia ancestral del cacao,https://www.eltribuno.com/vida-y-tendencia/2024-5-14-19-35-0-el-misterio-de-la-ceremonia-ancestral-del-cacao,El cacao era utilizado por las antiguas civilizaciones sudamericanas en rituales que tenían que ver con el bienestar.,Vida y Tendencia
¿Son las redes sociales el lugar del odio a la democracia?,https://www.eltribuno.com/vida-y-tendencia/2024-5-12-7-25-0-son-las-redes-sociales-el-lugar-del-odio-a-la-democracia,"Por Alejandro Alonso, docente de la Maestría en Gestión Estratégica de la Comunicación de la Universidad Católica de Salta.",Vida y Tendencia
Cuántas horas hay que dormir para vivir 100 años,https://www.eltribuno.com/vida-y-tendencia/2024-5-10-0-0-0-cuantas-horas-hay-que-dormir-para-vivir-100-anos,El descanso también ayuda a prevenir enfermedades.,Vida y Tendencia
